pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-2.16285,0.0666667,-2.01931,0.0666667,-2.02675,0.0666667,All
-1.34743,0.133333,-1.39178,0.133333,-1.32765,0.133333,All
-0.83721,0.2,-0.864744,0.2,-0.856495,0.2,All
-0.802662,0.266667,-0.817354,0.266667,-0.818974,0.266667,All
-0.510396,0.333333,-0.523592,0.333333,-0.468219,0.333333,All
-0.468318,0.4,-0.508924,0.4,-0.433006,0.4,All
-0.343584,0.466667,-0.297032,0.466667,-0.359883,0.466667,All
-0.309625,0.533333,-0.191677,0.533333,-0.334019,0.533333,All
0.0302795,0.6,0.0202707,0.6,0.0822221,0.6,All
0.151212,0.666667,0.125894,0.666667,0.150479,0.666667,All
0.359412,0.733333,0.381689,0.733333,0.349661,0.733333,All
0.384853,0.8,0.422707,0.8,0.364552,0.8,All
0.591291,0.866667,0.632417,0.866667,0.580303,0.866667,All
0.885734,0.933333,0.956433,0.933333,0.883718,0.933333,All
2.23842,1,2.2926,1,2.29173,1,All
4,1,4,1,4,1,All
