popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
13.8918,14.6952,13.8918,10.0827,17.701,13.8918,14.6952,13.8918,10.0827,17.701,All
14.4171,15.1353,14.4171,10.4639,18.3703,14.4171,15.1353,14.4171,10.4639,18.3703,All
14.9623,15.592,14.9623,10.8596,19.065,14.9623,15.592,14.9623,10.8596,19.065,All
15.3914,15.9515,15.3914,11.171,19.6117,15.3914,15.9515,15.3914,11.171,19.6117,All
15.5281,16.0661,15.5281,11.2703,19.7859,15.5281,16.0661,15.5281,11.2703,19.7859,All
16.1153,16.558,16.1153,11.6965,20.5341,16.1153,16.558,16.1153,11.6965,20.5341,All
16.7247,17.0685,16.7247,12.1388,21.3106,16.7247,17.0685,16.7247,12.1388,21.3106,All
16.8909,17.2078,16.8909,12.2594,21.5224,16.8909,17.2078,16.8909,12.2594,21.5224,All
17.3571,17.5984,17.3571,12.5978,22.1165,17.3571,17.5984,17.3571,12.5978,22.1165,All
18.0135,18.1483,18.0135,13.0742,22.9528,18.0135,18.1483,18.0135,13.0742,22.9528,All
18.3905,18.4641,18.3905,13.3478,23.4332,18.3905,18.4641,18.3905,13.3478,23.4332,All
18.6947,18.719,18.6947,13.5686,23.8208,18.6947,18.719,18.6947,13.5686,23.8208,All
19.4016,19.3112,19.4016,14.0817,24.7215,19.4016,19.3112,19.4016,14.0817,24.7215,All
19.89,19.7204,19.89,14.4362,25.3439,19.89,19.7204,19.89,14.4362,25.3439,All
20.1353,19.9259,20.1353,14.6142,25.6564,20.1353,19.9259,20.1353,14.6142,25.6564,All
20.8967,20.5638,20.8967,15.1668,26.6266,20.8967,20.5638,20.8967,15.1668,26.6266,All
21.3896,20.9767,21.3896,15.5246,27.2546,21.3896,20.9767,21.3896,15.5246,27.2546,All
21.6869,21.2258,21.6869,15.7403,27.6335,21.6869,21.2258,21.6869,15.7403,27.6335,All
22.507,21.9129,22.507,16.3356,28.6784,22.507,21.9129,22.507,16.3356,28.6784,All
