iteration,convergenceIndicator,phase,VmaxreabsSGLT2hs_pop,VmaxreabsSGLT2t2d_pop,b
1,128.498,1,85,112,0.3
2,111.381,1,86.9905,116.926,0.285
3,110.475,1,87.0849,117.054,0.27075
4,109.623,1,87.1544,117.165,0.257212
5,108.827,1,87.2301,117.253,0.244352
6,108.097,1,87.2895,117.349,0.232134
7,107.438,1,87.3481,117.45,0.220528
8,106.863,1,87.405,117.518,0.209501
9,106.378,1,87.4616,117.59,0.199026
10,105.999,1,87.5021,117.658,0.189075
11,105.733,1,87.5508,117.723,0.179621
12,105.598,1,87.5838,117.778,0.17064
13,105.579,1,87.6192,117.824,0.166929
14,105.578,1,87.6385,117.857,0.166667
15,105.578,1,87.6349,117.854,0.166702
16,105.578,2,87.6349,117.854,0.166702
17,105.578,2,87.6349,117.854,0.166702
18,105.578,2,87.6349,117.854,0.166702
19,105.578,2,87.6349,117.854,0.166702
