ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
1,96,26.742,-2.16285,-2.16285,26.742,-2.01931,-2.01931,26.742,-2.01931,-2.01931,26.742,-2.02675,-2.02675,0,All,#4682B4,0
2,96,46.3215,-0.802662,-0.802662,46.3215,-0.817354,-0.817354,46.3215,-0.817354,-0.817354,46.3215,-0.818974,-0.818974,0,All,#4682B4,0
3,96,52.4866,0.591291,0.591291,52.4866,0.632417,0.632417,52.4866,0.632417,0.632417,52.4866,0.580303,0.580303,0,All,#4682B4,0
4,96,57.928,0.359412,0.359412,57.928,0.422707,0.422707,57.928,0.422707,0.422707,57.928,0.349661,0.349661,0,All,#4682B4,0
5,96,61.3477,-0.343584,-0.343584,61.3477,-0.297032,-0.297032,61.3477,-0.297032,-0.297032,61.3477,-0.359883,-0.359883,0,All,#4682B4,0
6,96,49.4677,-0.468318,-0.468318,49.4677,-0.523592,-0.523592,49.4677,-0.523592,-0.523592,49.4677,-0.433006,-0.433006,0,All,#4682B4,0
7,96,77.7751,-0.309625,-0.309625,77.7751,-0.191677,-0.191677,77.7751,-0.191677,-0.191677,77.7751,-0.334019,-0.334019,0,All,#4682B4,0
8,96,88.8696,-0.510396,-0.510396,88.8696,-0.508924,-0.508924,88.8696,-0.508924,-0.508924,88.8696,-0.468219,-0.468219,0,All,#4682B4,0
9,96,32.6468,0.885734,0.885734,32.6468,0.956433,0.956433,32.6468,0.956433,0.956433,32.6468,0.883718,0.883718,0,All,#4682B4,0
10,96,64.2837,0.384853,0.384853,64.2837,0.381689,0.381689,64.2837,0.381689,0.381689,64.2837,0.364552,0.364552,0,All,#4682B4,0
11,96,75.1048,0.151212,0.151212,75.1048,0.125894,0.125894,75.1048,0.125894,0.125894,75.1048,0.150479,0.150479,0,All,#4682B4,0
12,96,84.1756,0.0302795,0.0302795,84.1756,0.0202707,0.0202707,84.1756,0.0202707,0.0202707,84.1756,0.0822221,0.0822221,0,All,#4682B4,0
13,96,57.928,-1.34743,-1.34743,57.928,-1.39178,-1.39178,57.928,-1.39178,-1.39178,57.928,-1.32765,-1.32765,0,All,#4682B4,0
14,96,13.8918,2.23842,2.23842,13.8918,2.2926,2.2926,13.8918,2.2926,2.2926,13.8918,2.29173,2.29173,0,All,#4682B4,0
15,96,26.742,-0.83721,-0.83721,26.742,-0.864744,-0.864744,26.742,-0.864744,-0.864744,26.742,-0.856495,-0.856495,0,All,#4682B4,0
