id,VmaxreabsSGLT2hs_SAEM,VmaxreabsSGLT2t2d_SAEM,VmaxreabsSGLT2hs_mode,VmaxreabsSGLT2t2d_mode,DOSE
1,87.6349,117.854,87.6349,117.854,2.5
2,87.6349,117.854,87.6349,117.854,10
3,87.6349,117.854,87.6349,117.854,20
4,87.6349,117.854,87.6349,117.854,50
5,87.6349,117.854,87.6349,117.854,100
6,87.6349,117.854,87.6349,117.854,5
7,87.6349,117.854,87.6349,117.854,25
8,87.6349,117.854,87.6349,117.854,100
9,87.6349,117.854,87.6349,117.854,2.5
10,87.6349,117.854,87.6349,117.854,10
11,87.6349,117.854,87.6349,117.854,20
12,87.6349,117.854,87.6349,117.854,50
13,87.6349,117.854,87.6349,117.854,50
14,87.6349,117.854,87.6349,117.854,1
15,87.6349,117.854,87.6349,117.854,2.5
