rep,id,VmaxreabsSGLT2hs,VmaxreabsSGLT2t2d,DOSE
1,1,87.6349,117.854,2.5
2,1,87.6349,117.854,2.5
3,1,87.6349,117.854,2.5
4,1,87.6349,117.854,2.5
1,2,87.6349,117.854,10
2,2,87.6349,117.854,10
3,2,87.6349,117.854,10
4,2,87.6349,117.854,10
1,3,87.6349,117.854,20
2,3,87.6349,117.854,20
3,3,87.6349,117.854,20
4,3,87.6349,117.854,20
1,4,87.6349,117.854,50
2,4,87.6349,117.854,50
3,4,87.6349,117.854,50
4,4,87.6349,117.854,50
1,5,87.6349,117.854,100
2,5,87.6349,117.854,100
3,5,87.6349,117.854,100
4,5,87.6349,117.854,100
1,6,87.6349,117.854,5
2,6,87.6349,117.854,5
3,6,87.6349,117.854,5
4,6,87.6349,117.854,5
1,7,87.6349,117.854,25
2,7,87.6349,117.854,25
3,7,87.6349,117.854,25
4,7,87.6349,117.854,25
1,8,87.6349,117.854,100
2,8,87.6349,117.854,100
3,8,87.6349,117.854,100
4,8,87.6349,117.854,100
1,9,87.6349,117.854,2.5
2,9,87.6349,117.854,2.5
3,9,87.6349,117.854,2.5
4,9,87.6349,117.854,2.5
1,10,87.6349,117.854,10
2,10,87.6349,117.854,10
3,10,87.6349,117.854,10
4,10,87.6349,117.854,10
1,11,87.6349,117.854,20
2,11,87.6349,117.854,20
3,11,87.6349,117.854,20
4,11,87.6349,117.854,20
1,12,87.6349,117.854,50
2,12,87.6349,117.854,50
3,12,87.6349,117.854,50
4,12,87.6349,117.854,50
1,13,87.6349,117.854,50
2,13,87.6349,117.854,50
3,13,87.6349,117.854,50
4,13,87.6349,117.854,50
1,14,87.6349,117.854,1
2,14,87.6349,117.854,1
3,14,87.6349,117.854,1
4,14,87.6349,117.854,1
1,15,87.6349,117.854,2.5
2,15,87.6349,117.854,2.5
3,15,87.6349,117.854,2.5
4,15,87.6349,117.854,2.5
