rep,id,eta_VmaxreabsSGLT2hs,eta_VmaxreabsSGLT2t2d,DOSE
1,1,0,0,2.5
2,1,0,0,2.5
3,1,0,0,2.5
4,1,0,0,2.5
1,2,0,0,10
2,2,0,0,10
3,2,0,0,10
4,2,0,0,10
1,3,0,0,20
2,3,0,0,20
3,3,0,0,20
4,3,0,0,20
1,4,0,0,50
2,4,0,0,50
3,4,0,0,50
4,4,0,0,50
1,5,0,0,100
2,5,0,0,100
3,5,0,0,100
4,5,0,0,100
1,6,0,0,5
2,6,0,0,5
3,6,0,0,5
4,6,0,0,5
1,7,0,0,25
2,7,0,0,25
3,7,0,0,25
4,7,0,0,25
1,8,0,0,100
2,8,0,0,100
3,8,0,0,100
4,8,0,0,100
1,9,0,0,2.5
2,9,0,0,2.5
3,9,0,0,2.5
4,9,0,0,2.5
1,10,0,0,10
2,10,0,0,10
3,10,0,0,10
4,10,0,0,10
1,11,0,0,20
2,11,0,0,20
3,11,0,0,20
4,11,0,0,20
1,12,0,0,50
2,12,0,0,50
3,12,0,0,50
4,12,0,0,50
1,13,0,0,50
2,13,0,0,50
3,13,0,0,50
4,13,0,0,50
1,14,0,0,1
2,14,0,0,1
3,14,0,0,1
4,14,0,0,1
1,15,0,0,2.5
2,15,0,0,2.5
3,15,0,0,2.5
4,15,0,0,2.5
