pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-2.16296,0.0666667,-2.01942,0.0666667,-2.02675,0.0666667,All
-1.3462,0.133333,-1.39057,0.133333,-1.32765,0.133333,All
-0.832929,0.2,-0.860549,0.2,-0.856495,0.2,All
-0.798166,0.266667,-0.812813,0.266667,-0.811997,0.266667,All
-0.508313,0.333333,-0.519828,0.333333,-0.468219,0.333333,All
-0.464525,0.4,-0.506895,0.4,-0.422042,0.4,All
-0.339332,0.466667,-0.292836,0.466667,-0.354551,0.466667,All
-0.305992,0.533333,-0.187932,0.533333,-0.328733,0.533333,All
0.0344453,0.6,0.0243419,0.6,0.0872434,0.6,All
0.156129,0.666667,0.130785,0.666667,0.150479,0.666667,All
0.366816,0.733333,0.387904,0.733333,0.354984,0.733333,All
0.391034,0.8,0.430271,0.8,0.364552,0.8,All
0.600399,0.866667,0.641702,0.866667,0.592186,0.866667,All
0.893158,0.933333,0.964228,0.933333,0.898603,0.933333,All
2.23584,1,2.28999,1,2.29173,1,All
4,1,4,1,4,1,All
