popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
13.9057,14.7158,13.9057,10.1022,17.7092,13.9057,14.7158,13.9057,10.1022,17.7092,All
14.4311,15.1565,14.4311,10.4839,18.3783,14.4311,15.1565,14.4311,10.4839,18.3783,All
14.9763,15.6138,14.9763,10.88,19.0727,14.9763,15.6138,14.9763,10.88,19.0727,All
15.4039,15.9725,15.4039,11.1907,19.6172,15.4039,15.9725,15.4039,11.1907,19.6172,All
15.5422,16.0885,15.5422,11.2911,19.7933,15.5422,16.0885,15.5422,11.2911,19.7933,All
16.1294,16.5811,16.1294,11.7177,20.5411,16.1294,16.5811,16.1294,11.7177,20.5411,All
16.7388,17.0923,16.7388,12.1604,21.3172,16.7388,17.0923,16.7388,12.1604,21.3172,All
16.9022,17.2293,16.9022,12.2791,21.5252,16.9022,17.2293,16.9022,12.2791,21.5252,All
17.3712,17.6228,17.3712,12.6198,22.1226,17.3712,17.6228,17.3712,12.6198,22.1226,All
18.0275,18.1733,18.0275,13.0966,22.9584,18.0275,18.1733,18.0275,13.0966,22.9584,All
18.4004,18.4861,18.4004,13.3675,23.4332,18.4004,18.4861,18.4004,13.3675,23.4332,All
18.7086,18.7447,18.7086,13.5914,23.8258,18.7086,18.7447,18.7086,13.5914,23.8258,All
19.4155,19.3376,19.4155,14.1049,24.726,19.4155,19.3376,19.4155,14.1049,24.726,All
19.8986,19.7429,19.8986,14.4559,25.3412,19.8986,19.7429,19.8986,14.4559,25.3412,All
20.149,19.9529,20.149,14.6378,25.6602,20.149,19.9529,20.149,14.6378,25.6602,All
20.9103,20.5915,20.9103,15.1909,26.6296,20.9103,20.5915,20.9103,15.1909,26.6296,All
21.3968,20.9997,21.3968,15.5443,27.2492,21.3968,20.9997,21.3968,15.5443,27.2492,All
21.7003,21.2542,21.7003,15.7648,27.6358,21.7003,21.2542,21.7003,15.7648,27.6358,All
