iteration,convergenceIndicator,phase,VmaxreabsSGLT2hs_pop,VmaxreabsSGLT2t2d_pop,b
1,232.471,1,80,110,0.3
2,111.335,1,86.9442,116.906,0.285
3,110.429,1,87.0281,117.016,0.27075
4,109.571,1,87.1051,117.142,0.257212
5,108.771,1,87.1827,117.245,0.244352
6,108.037,1,87.2452,117.329,0.232134
7,107.374,1,87.3045,117.412,0.220528
8,106.793,1,87.3632,117.496,0.209501
9,106.303,1,87.4184,117.574,0.199026
10,105.918,1,87.4568,117.633,0.189075
11,105.645,1,87.5073,117.702,0.179621
12,105.502,1,87.5406,117.759,0.17064
13,105.481,1,87.5744,117.796,0.166486
14,105.479,1,87.591,117.816,0.166288
15,105.479,2,87.591,117.816,0.166288
16,105.479,2,87.591,117.816,0.166288
17,105.479,2,87.591,117.816,0.166288
18,105.479,2,87.591,117.816,0.166288
