ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
1,24,26.709,-2.16296,-2.16296,26.709,-2.01942,-2.01942,,,,26.709,-2.02675,-2.02675,0,All,#4682B4,0
2,24,46.263,-0.798166,-0.798166,46.263,-0.812813,-0.812813,,,,46.263,-0.811997,-0.811997,0,All,#4682B4,0
3,24,52.4258,0.600399,0.600399,52.4258,0.641702,0.641702,,,,52.4258,0.592186,0.592186,0,All,#4682B4,0
4,24,57.8695,0.366816,0.366816,57.8695,0.430271,0.430271,,,,57.8695,0.354984,0.354984,0,All,#4682B4,0
5,24,61.2948,-0.339332,-0.339332,61.2948,-0.292836,-0.292836,,,,61.2948,-0.354551,-0.354551,0,All,#4682B4,0
6,24,49.4221,-0.464525,-0.464525,49.4221,-0.519828,-0.519828,,,,49.4221,-0.422042,-0.422042,0,All,#4682B4,0
7,24,77.7188,-0.305992,-0.305992,77.7188,-0.187932,-0.187932,,,,77.7188,-0.328733,-0.328733,0,All,#4682B4,0
8,24,88.8164,-0.508313,-0.508313,88.8164,-0.506895,-0.506895,,,,88.8164,-0.468219,-0.468219,0,All,#4682B4,0
9,24,32.6215,0.893158,0.893158,32.6215,0.964228,0.964228,,,,32.6215,0.898603,0.898603,0,All,#4682B4,0
10,24,64.2309,0.391034,0.391034,64.2309,0.387904,0.387904,,,,64.2309,0.364552,0.364552,0,All,#4682B4,0
11,24,75.0488,0.156129,0.156129,75.0488,0.130785,0.130785,,,,75.0488,0.150479,0.150479,0,All,#4682B4,0
12,24,84.1195,0.0344453,0.0344453,84.1195,0.0243419,0.0243419,,,,84.1195,0.0872434,0.0872434,0,All,#4682B4,0
13,24,57.8695,-1.3462,-1.3462,57.8695,-1.39057,-1.39057,,,,57.8695,-1.32765,-1.32765,0,All,#4682B4,0
14,24,13.9057,2.23584,2.23584,13.9057,2.28999,2.28999,,,,13.9057,2.29173,2.29173,0,All,#4682B4,0
15,24,26.709,-0.832929,-0.832929,26.709,-0.860549,-0.860549,,,,26.709,-0.856495,-0.856495,0,All,#4682B4,0
