rep,ID,timeAfterLastDose,sim_y1,censored,split,color,filter
1,1,24,27.6639,0,All,-1,0
1,2,24,37.7088,0,All,-1,0
1,3,24,41.8468,0,All,-1,0
1,4,24,69.649,0,All,-1,0
1,5,24,63.5711,0,All,-1,0
1,6,24,56.1844,0,All,-1,0
1,7,24,91.0449,0,All,-1,0
1,8,24,101.83,0,All,-1,0
1,9,24,40.0898,0,All,-1,0
1,10,24,85.9927,0,All,-1,0
1,11,24,58.1544,0,All,-1,0
1,12,24,64.5908,0,All,-1,0
1,13,24,67.1171,0,All,-1,0
1,14,24,15.8618,0,All,-1,0
1,15,24,25.7578,0,All,-1,0
2,1,24,25.2989,0,All,-1,0
2,2,24,42.4966,0,All,-1,0
2,3,24,48.5472,0,All,-1,0
2,4,24,42.9912,0,All,-1,0
2,5,24,67.7378,0,All,-1,0
2,6,24,51.6401,0,All,-1,0
2,7,24,80.718,0,All,-1,0
2,8,24,106.735,0,All,-1,0
2,9,24,29.3961,0,All,-1,0
2,10,24,72.1101,0,All,-1,0
2,11,24,73.7796,0,All,-1,0
2,12,24,94.4239,0,All,-1,0
2,13,24,39.4295,0,All,-1,0
2,14,24,9.96295,0,All,-1,0
2,15,24,28.068,0,All,-1,0
3,1,24,28.3759,0,All,-1,0
3,2,24,56.7727,0,All,-1,0
3,3,24,62.0159,0,All,-1,0
3,4,24,65.3033,0,All,-1,0
3,5,24,64.0382,0,All,-1,0
3,6,24,47.6931,0,All,-1,0
3,7,24,76.7843,0,All,-1,0
3,8,24,93.8947,0,All,-1,0
3,9,24,24.5577,0,All,-1,0
3,10,24,60.1198,0,All,-1,0
3,11,24,65.0209,0,All,-1,0
3,12,24,67.5816,0,All,-1,0
3,13,24,76.2948,0,All,-1,0
3,14,24,17.2517,0,All,-1,0
3,15,24,29.4361,0,All,-1,0
4,1,24,25.9947,0,All,-1,0
4,2,24,30.4028,0,All,-1,0
4,3,24,31.6466,0,All,-1,0
4,4,24,60.4304,0,All,-1,0
4,5,24,60.7181,0,All,-1,0
4,6,24,55.1221,0,All,-1,0
4,7,24,76.7943,0,All,-1,0
4,8,24,94.1592,0,All,-1,0
4,9,24,21.115,0,All,-1,0
4,10,24,62.5127,0,All,-1,0
4,11,24,74.546,0,All,-1,0
4,12,24,65.0621,0,All,-1,0
4,13,24,58.5888,0,All,-1,0
4,14,24,15.0892,0,All,-1,0
4,15,24,23.2492,0,All,-1,0
5,1,24,24.5813,0,All,-1,0
5,2,24,42.4978,0,All,-1,0
5,3,24,35.7695,0,All,-1,0
5,4,24,42.9823,0,All,-1,0
5,5,24,59.1966,0,All,-1,0
5,6,24,56.0816,0,All,-1,0
5,7,24,92.3575,0,All,-1,0
5,8,24,93.3282,0,All,-1,0
5,9,24,16.891,0,All,-1,0
5,10,24,66.2027,0,All,-1,0
5,11,24,82.2293,0,All,-1,0
5,12,24,78.0323,0,All,-1,0
5,13,24,46.3166,0,All,-1,0
5,14,24,12.3853,0,All,-1,0
5,15,24,29.3494,0,All,-1,0
6,1,24,19.9749,0,All,-1,0
6,2,24,55.4174,0,All,-1,0
6,3,24,53.529,0,All,-1,0
6,4,24,54.9742,0,All,-1,0
6,5,24,77.0355,0,All,-1,0
6,6,24,46.4561,0,All,-1,0
