rep,id,VmaxreabsSGLT2hs,VmaxreabsSGLT2t2d
1,1,87.591,117.816
2,1,87.591,117.816
3,1,87.591,117.816
4,1,87.591,117.816
1,2,87.591,117.816
2,2,87.591,117.816
3,2,87.591,117.816
4,2,87.591,117.816
1,3,87.591,117.816
2,3,87.591,117.816
3,3,87.591,117.816
4,3,87.591,117.816
1,4,87.591,117.816
2,4,87.591,117.816
3,4,87.591,117.816
4,4,87.591,117.816
1,5,87.591,117.816
2,5,87.591,117.816
3,5,87.591,117.816
4,5,87.591,117.816
1,6,87.591,117.816
2,6,87.591,117.816
3,6,87.591,117.816
4,6,87.591,117.816
1,7,87.591,117.816
2,7,87.591,117.816
3,7,87.591,117.816
4,7,87.591,117.816
1,8,87.591,117.816
2,8,87.591,117.816
3,8,87.591,117.816
4,8,87.591,117.816
1,9,87.591,117.816
2,9,87.591,117.816
3,9,87.591,117.816
4,9,87.591,117.816
1,10,87.591,117.816
2,10,87.591,117.816
3,10,87.591,117.816
4,10,87.591,117.816
1,11,87.591,117.816
2,11,87.591,117.816
3,11,87.591,117.816
4,11,87.591,117.816
1,12,87.591,117.816
2,12,87.591,117.816
3,12,87.591,117.816
4,12,87.591,117.816
1,13,87.591,117.816
2,13,87.591,117.816
3,13,87.591,117.816
4,13,87.591,117.816
1,14,87.591,117.816
2,14,87.591,117.816
3,14,87.591,117.816
4,14,87.591,117.816
1,15,87.591,117.816
2,15,87.591,117.816
3,15,87.591,117.816
4,15,87.591,117.816
